slug,key,value,osmium_tag_filter,nom en français dans ID,lien wiki,description en français dans taginfo,lien data item,modifié dans les data items ?,nsi_path,osmose_missing_item,osmose_missing_class,mots clefs à chercher dans les notes,mots clefs pour chercher dans l'auto-complétion,début du message pour les commerces déjà mappés,catégories proches peut-être à afficher aussi sur la page ?
craft/electrician,craft,electrician,nw/craft=electrician,Électricien,https://wiki.openstreetmap.org/wiki/FR:Tag:craft%3Delectrician,,,,,,,,,,
office/private_investigator,office,private_investigator,nw/office=private_investigator,Enquêteur privé/détective,https://wiki.openstreetmap.org/wiki/FR:Tag:office%3Dprivate_investigator,,,,,,,,,,
office/moving_company,office,moving_company,nw/office=moving_company,Entreprise de déménagement,https://wiki.openstreetmap.org/wiki/FR:Tag:office%3Dmoving_company,,,,brands/office/moving_company,,,,,,
shop/grocery,shop,grocery,nw/shop=grocery,Épicerie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dgrocery,A retail store that specializes in selling non-perishable food.,http://wiki.openstreetmap.org/entity/Q7412,,,8310,['47.21Z'],,,,convenience ?
shop/convenience,shop,convenience,nw/shop=convenience,Épicerie / Supérette,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dconvenience,Épicerie ou supérette: petit commerce de proximité qui vend quelques produits que l'on trouve dans les supermarchés.,,modifié,brands/shop/convenience,8310,"['47.11B', '47.11C']",,,,supermarket ?
shop/deli,shop,deli,nw/shop=deli,Épicerie de luxe,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Ddeli,Utilisé pour baliser un delicatessen.,http://wiki.openstreetmap.org/entity/Q5807,modifié,brands/shop/deli,8310,"['10.13B', '47.11B', '47.11C', '47.21Z']",,,Cette épicerie fine existe,
shop/florist,shop,florist,nw/shop=florist,Fleuriste,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dflorist,Une boutique qui vend de bouquets de fleurs,http://wiki.openstreetmap.org/entity/Q4785,,brands/shop/florist,8310,['47.76Z'],,,,
shop/cheese,shop,cheese,nw/shop=cheese,Fromager,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dcheese,Magasin vendant principalement du fromage.,,modifié,,,,,,,
shop/funeral_directors,shop,funeral_directors,nw/shop=funeral_directors,Funérarium,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dfuneral_directors,"Offrir des services liés aux arrangements funéraires, appelés ""pompes funèbres"".",,modifié,brands/shop/funeral_directors,8310,['96.03Z'],,,,
shop/car_repair,shop,car_repair,nw/shop=car_repair,Garage de réparation automobile,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dcar_repair,Magasin/service réparant les véhicules automobiles.,,,brands/shop/car_repair,8310,['45.20A'],,,,autres car_qqch
shop/department_store,shop,department_store,nw/shop=department_store,Grand magasin,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Ddepartment_store,Un grand magasin avec plusieurs comptoirs de vêtements et d'autres marchandises générales.,http://wiki.openstreetmap.org/entity/Q6758,,brands/shop/department_store,8310,['47.19A'],,,,
tourism/hotel,tourism,hotel,nw/tourism=hotel,Hôtel,https://wiki.openstreetmap.org/wiki/FR:Tag:tourism%3Dhotel,,,,brands/tourism/hotel,8310,['55.10Z'],,,,
amenity/animal_breeding,amenity,animal_breeding,nw/amenity=animal_breeding,Installation d'élevage d'animaux,https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Danimal_breeding,,,,,,,,,,
shop/garden_centre,shop,garden_centre,nw/shop=garden_centre,Jardinerie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dgarden_centre,"Commerce qui vend des potées fleuries, arbustes et arbres.",,modifié,brands/shop/garden_centre,8310,['47.76Z'],,,,"animalerie, jardinerie"
shop/kiosk,shop,kiosk,nw/shop=kiosk,Kiosque,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dkiosk,"Un petit commerce sur le trottoir qui peut vendre des magazines et journaux, du tabac, timbres, bonbons...",http://wiki.openstreetmap.org/entity/Q5025,,brands/shop/kiosk,,,,,,
shop/laundry,shop,laundry,nw/shop=laundry,Laverie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dlaundry,"Un magasin pour laver les vêtements ordinaires, une laverie",,,brands/shop/laundry,8310,['96.01B'],,,,
shop/books,shop,books,nw/shop=books,Librairie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dbooks,"Une librairie, magasin vendant principalement des livres",,,brands/shop/books,8310,['47.61Z'],,,,
amenity/boat_rental,amenity,boat_rental,nw/amenity=boat_rental,Location de bateau,https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Dboat_rental,,,,,,,,,,
amenity/car_rental,amenity,car_rental,nw/amenity=car_rental,Location de voiture,https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Dcar_rental,,,,brands/amenity/car_rental,,,,,,
shop/variety_store,shop,variety_store,nw/shop=variety_store,Magasin à prix unique ou à bas prix,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dvariety_store,Un magasin de variétés est un magasin de détail qui vend des articles peu coûteux,http://wiki.openstreetmap.org/entity/Q6968,,brands/shop/variety_store,,,,,,
,shop,cannabis,nw/shop=cannabis,Magasin CBD,,,,,,,,,,,déjà en production
shop/E-cigarette,shop,E-cigarette,nw/shop=E-cigarette,Magasin d'E-cigarettes,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3DE-cigarette,Un magasin vendant des cigarette électroniques,,,,,,,,,
shop/sports,shop,sports,nw/shop=sports,Magasin d'équipement sportif,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dsports,A shop selling sports equipment and clothing.,http://wiki.openstreetmap.org/entity/Q4947,,brands/shop/sports,8310,['47.64Z'],,,,"sports, outdoor"
shop/computer,shop,computer,nw/shop=computer,Magasin d'informatique,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dcomputer,"A shop selling computers, peripherals, software, ...",http://wiki.openstreetmap.org/entity/Q4967,,brands/shop/computer,8310,['47.41Z'],,,,
shop/beverages,shop,beverages,nw/shop=beverages,Magasin de boissons,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dbeverages,"Vente de boissons à emporter, alcoolisées ou non et sans licence particulière.",http://wiki.openstreetmap.org/entity/Q4958,,brands/shop/beverages,8310,['47.25Z'],,,,"alcohol, wine, beverages"
shop/doityourself,shop,doityourself,nw/shop=doityourself,Magasin de bricolage,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Ddoityourself,"Magasin de bricolage. Propose le matériel pour faire des réparations, des aménagement, du bricolage en général.",,,brands/shop/doityourself,8310,"['47.52A', '47.52B']",,,,
shop/shoes,shop,shoes,nw/shop=shoes,Magasin de chaussures,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dshoes,,http://wiki.openstreetmap.org/entity/Q4832,,brands/shop/shoes,8310,['47.72A'],,,,
shop/cosmetics,shop,cosmetics,nw/shop=cosmetics,Magasin de cosmétiques,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dcosmetics,Shop exclusively selling cosmetics,,,brands/shop/cosmetics,8310,['47.75Z'],,,,
shop/sewing,shop,sewing,nw/shop=sewing,Magasin de couture,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dsewing,"Un magasin qui vend des fournitures de couture (tissu, fil, aiguilles à tricoter, machines à coudre, etc.",,,,8310,['47.51Z'],,,,
amenity/ice_cream,amenity,ice_cream,nw/amenity=ice_cream,Magasin de crèmes glacées,https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Dice_cream,For places selling ice cream.,,,brands/amenity/ice_cream,,,,,,
shop/interior_decoration,shop,interior_decoration,nw/shop=interior_decoration,Magasin de décoration d'intérieur,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dinterior_decoration,Magasin axé sur la vente de décorations d'intérieur.,,,brands/shop/interior_decoration,,,,,,
shop/games,shop,games,nw/shop=games,Magasin de jeux de plateau,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dgames,Magasin de vente de jeux vidéo.,http://wiki.openstreetmap.org/entity/Q5451,,brands/shop/games,8310,['47.65Z'],,,,
shop/toys,shop,toys,nw/shop=toys,Magasin de jouets,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dtoys,Un magasin de jouets.,http://wiki.openstreetmap.org/entity/Q5022,,brands/shop/toys,8310,['47.65Z'],,,,
shop/newsagent,shop,newsagent,nw/shop=newsagent,Magasin de journaux,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dnewsagent,"Magasin qui vend des journaux, des cigarettes ou autres objets.",http://wiki.openstreetmap.org/entity/Q5048,,brands/shop/newsagent,8310,"['47.26Z', '47.62Z']",,,,"magasins de journaux, café, tabac"
shop/bed,shop,bed,nw/shop=bed,Magasin de literie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dbed,Un magasin spécialisé dans la vente de matelas et autres produits de literie.,http://wiki.openstreetmap.org/entity/Q5225,,brands/shop/bed,8310,['47.59A'],,,,
shop/video_games,shop,video_games,nw/shop=video_games,Magasin de location et vente de jeux vidéo,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dvideo_games,Magasin de vente de jeux vidéo.,http://wiki.openstreetmap.org/entity/Q6433,,brands/shop/video_games,8310,['47.41Z'],,,,
shop/outdoor,shop,outdoor,nw/shop=outdoor,Magasin de matériel de sports de plein air,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Doutdoor,"Magasin vendant du matériel de randonnées (ex : GPS), d'escalade et/ou de camping.",http://wiki.openstreetmap.org/entity/Q4807,,brands/shop/outdoor,8310,['47.64Z'],,,,"sports, outdoor"
